"","gene_name","logFC","logCPM","LR","PValue","FDR","moduleColors","moduleColors_merged"
"5127","Fam185a",0.529024378536101,3.98978149605624,16.509174727107,4.84152322188335e-05,0.000326571406350561,"turquoise","turquoise"
"5128","Fam186b",0.96253481717437,-0.705143599465934,6.24068000509129,0.012484853066567,0.0378369151106097,"turquoise","turquoise"
"5129","Fam188a",-0.0275560386608882,4.9633569794764,0.0909004314561503,0.763035549377362,0.854771762498517,"turquoise","turquoise"
"5130","Fam188b",0.134829628638346,3.84464503736581,0.89703905442204,0.343576892103149,0.501205337702652,"pink","BrRePi"
"5131","Fam189a1",0.77595705445175,5.08293177214729,31.0588981590119,2.50316159955222e-08,3.56975479781485e-07,"turquoise","turquoise"
"5132","Fam189a2",1.10460436397406,2.90301337300369,35.9312181807237,2.04407261901948e-09,3.57085624693941e-08,"turquoise","turquoise"
"5133","Fam189b",0.254365291349364,5.53404052672448,6.39470964774944,0.0114460949758188,0.0352885021585416,"grey","grey"
"5134","Fam192a",-0.193788560704176,6.66478102091583,6.43461945951418,0.0111917131745953,0.0346160307052615,"blue","blue"
"5135","Fam193a",-0.251285126131706,6.97277623851177,11.2188155520553,0.000809721577796698,0.00383118702217569,"blue","blue"
"5136","Fam193b",-0.182239313606615,6.4518812554005,4.79347922396702,0.0285676658293323,0.0746938374003922,"black","YeMaBl"
"5137","Fam195a",0.232615318881017,3.04854116207887,1.73886555555997,0.187282632560978,0.323789266414414,"yellow","YeMaBl"
"5138","Fam195b",-0.0193908855289898,7.45940539370275,0.0495381682029086,0.823868852619015,0.894172915746272,"red","BrRePi"
"5139","Fam196a",0.16260290278293,4.96291377089833,3.02284258800696,0.082099445380294,0.173037908971012,"turquoise","turquoise"
"5140","Fam196b",0.0441285445437267,3.14817328543087,0.0298674150940208,0.862791408759933,0.919179416758828,"grey","grey"
"5141","Fam198a",0.308692246712657,1.81404880219912,1.63222565865682,0.20139548487333,0.341780542090272,"turquoise","turquoise"
